intento_id,usuario_id,evento_id,zona,cantidad
114,u33235,3,VIP,3
115,u26372,3,General,2
116,u27555,4,Luneta,3
117,u26613,5,General,3
118,u18804,2,Sur,3
119,u30474,4,Balcon,2
120,u33501,4,Luneta,1
121,u18599,5,Mesa VIP,1
122,u49227,2,Preferencial,3
123,u14723,2,Norte,1
124,u3029,2,Sur,1
125,u29847,4,Luneta,4
126,u32400,4,Luneta,2
127,u42996,1,General,4
128,u14342,2,Preferencial,4
129,u3292,5,General,1
130,u29915,2,Sur,3
131,u49497,4,Balcon,4
132,u10431,4,Balcon,3
133,u49269,2,Preferencial,3
134,u34164,4,Luneta,3
135,u28828,1,Platinum,3
136,u15368,3,VIP,3
137,u35400,1,General,2
138,u15156,4,Luneta,2
139,u4210,4,Balcon,3
140,u35561,4,Balcon,1
141,u13556,4,Balcon,1
142,u37729,4,Balcon,1
143,u23053,3,VIP,4
144,u35273,5,General,4
145,u14381,3,VIP,4
146,u1903,4,Balcon,4
147,u47460,2,Sur,2
148,u40781,5,General,4
149,u38791,5,General,1
150,u42124,4,Luneta,4
151,u11910,1,VIP,4
152,u21454,2,Sur,3
153,u22119,4,Balcon,4
154,u16533,1,VIP,1
155,u49089,5,General,3
156,u14695,1,Platinum,1
157,u49430,1,General,2
158,u1336,5,General,2
159,u8273,4,Luneta,2
160,u30477,3,VIP,2
161,u39708,5,General,2
162,u20385,1,Platinum,1
163,u20445,5,Mesa VIP,4
164,u46860,2,Norte,2
165,u6679,3,General,1
166,u22755,5,Mesa VIP,3
167,u4520,5,Mesa VIP,1
168,u27529,4,Luneta,4
169,u23737,4,Luneta,4
170,u11544,5,Mesa VIP,4
171,u30466,4,Balcon,3
172,u16089,1,VIP,4
173,u15982,4,Balcon,3
174,u1881,4,Balcon,2
175,u31953,2,Sur,3
176,u22305,3,VIP,1
177,u33858,2,Norte,2
178,u47191,4,Balcon,2
179,u45260,4,Balcon,4
180,u1131,1,VIP,2
181,u26503,2,Sur,3
182,u31016,5,Mesa VIP,4
183,u48886,5,Mesa VIP,3
184,u46063,4,Balcon,3
185,u16476,2,Norte,2
186,u20680,1,Platinum,2
187,u12553,2,Preferencial,4
188,u18121,5,Mesa VIP,1
189,u12722,3,General,3
190,u11760,3,General,2
191,u17978,1,General,3
192,u45706,2,Preferencial,4
193,u6724,1,Platinum,3
194,u30763,4,Balcon,3
195,u12083,1,VIP,4
196,u7477,1,VIP,4
197,u4856,5,General,2
198,u9778,5,Mesa VIP,1
199,u16266,1,Platinum,4
200,u39736,5,General,4
201,u29525,4,Balcon,4
202,u20014,5,General,1
203,u49987,2,Preferencial,2
204,u17344,1,General,2
205,u11392,5,General,2
206,u176,4,Balcon,4
207,u19088,1,General,3
208,u46332,3,VIP,1
209,u45049,2,Sur,2
210,u27862,1,Platinum,2
211,u42444,2,Sur,2
212,u4680,1,General,3
213,u38997,5,Mesa VIP,4
214,u8150,4,Balcon,4
215,u17842,5,Mesa VIP,4
216,u5272,5,General,4
217,u48139,3,VIP,1
218,u5986,2,Preferencial,1
219,u44059,3,General,2
220,u30835,5,Mesa VIP,3
221,u11895,5,Mesa VIP,4
222,u5980,4,Balcon,4
223,u21844,3,General,2
224,u21615,4,Balcon,3
225,u43424,4,Luneta,4
226,u5772,3,VIP,3
227,u7598,4,Luneta,4
228,u27083,1,General,3
229,u40805,4,Balcon,1
230,u13341,3,General,3
231,u28713,4,Luneta,1
232,u41290,5,General,2
233,u20366,5,General,4
234,u6109,2,Norte,4
235,u7699,2,Sur,3
236,u33350,3,VIP,4
237,u30948,2,Sur,2
238,u25139,2,Preferencial,2
239,u4576,3,VIP,3
240,u33276,3,General,3
241,u47583,3,VIP,2
242,u29265,5,Mesa VIP,3
243,u21787,5,Mesa VIP,4
244,u21089,2,Preferencial,2
245,u37474,4,Luneta,4
246,u2861,3,VIP,4
247,u25303,2,Sur,1
248,u8274,5,Mesa VIP,1
249,u28856,1,Platinum,4
250,u1006,2,Sur,2
251,u4904,4,Balcon,3
252,u40846,4,Luneta,3
253,u44195,5,Mesa VIP,3
254,u41078,4,Luneta,1
255,u15386,3,General,1
256,u28441,1,Platinum,1
257,u29077,2,Preferencial,3
258,u1898,1,VIP,1
259,u19227,3,VIP,4
260,u9541,2,Preferencial,4
261,u37089,2,Norte,2
262,u5176,5,Mesa VIP,2
263,u32616,5,General,2
264,u30222,3,VIP,3
265,u43703,1,VIP,3
266,u44408,5,General,1
267,u28950,3,VIP,4
268,u45241,3,VIP,3
269,u13056,4,Balcon,1
270,u15546,4,Balcon,3
271,u45828,3,General,4
272,u17989,1,Platinum,1
273,u39742,4,Balcon,2
274,u39785,3,General,2
275,u40691,3,General,1
276,u41122,1,VIP,4
277,u2187,5,Mesa VIP,2
278,u5907,3,VIP,4
279,u11511,2,Norte,3
280,u34790,5,Mesa VIP,2
281,u16841,4,Balcon,3
282,u7548,4,Luneta,2
283,u49425,2,Preferencial,4
284,u36525,3,General,4
285,u913,3,General,4
286,u24156,3,VIP,3
287,u7101,2,Sur,1
288,u40603,5,Mesa VIP,2
289,u42445,1,Platinum,4
290,u45946,3,VIP,1
291,u9161,1,General,3
292,u32285,1,General,2
293,u35229,2,Sur,4
294,u24315,5,Mesa VIP,2
295,u27190,1,VIP,4
296,u18334,1,Platinum,3
297,u14239,4,Balcon,2
298,u23769,1,Platinum,3
299,u35683,3,General,4
300,u18081,2,Norte,4
301,u6008,2,Preferencial,1
302,u3315,3,General,2
303,u37001,2,Norte,2
304,u38430,2,Norte,3
305,u9671,5,General,3
306,u9483,2,Preferencial,3
307,u11436,1,Platinum,1
308,u8638,1,VIP,2
309,u38592,3,General,2
310,u17392,1,General,4
311,u34478,1,Platinum,1
312,u31212,4,Balcon,1
313,u29623,5,General,1
314,u47661,5,Mesa VIP,4
315,u42162,1,General,4
316,u26321,4,Luneta,4
317,u46688,4,Luneta,1
318,u21110,5,General,1
319,u8271,3,VIP,4
320,u39151,5,Mesa VIP,4
321,u33132,5,Mesa VIP,1
322,u45992,1,Platinum,2
323,u28186,4,Luneta,4
324,u22213,4,Balcon,4
325,u47816,1,VIP,4
326,u20482,3,VIP,2
327,u45012,4,Luneta,1
328,u5595,1,VIP,1
329,u48798,3,General,1
330,u38435,5,Mesa VIP,1
331,u26923,3,VIP,1
332,u18851,5,Mesa VIP,3
333,u6790,5,General,2
334,u43040,4,Luneta,1
335,u22946,5,Mesa VIP,1
336,u49979,3,General,4
337,u36764,5,General,3
338,u1898,2,Sur,3
339,u22271,3,General,2
340,u9389,5,Mesa VIP,1
341,u9298,1,General,2
342,u24655,4,Balcon,3
343,u10316,3,VIP,3
344,u37198,5,General,1
345,u10197,2,Preferencial,1
346,u44170,1,VIP,4
347,u43381,4,Balcon,4
348,u27144,3,General,1
349,u22622,4,Luneta,3
350,u44448,5,Mesa VIP,3
351,u2977,2,Sur,1
352,u504,2,Sur,2
353,u8994,3,VIP,3
354,u7864,1,VIP,4
355,u11515,2,Sur,2
356,u32786,5,Mesa VIP,1
357,u26023,1,VIP,1
358,u30131,1,VIP,4
359,u37579,4,Balcon,3
360,u7549,4,Luneta,3
361,u11264,5,Mesa VIP,3
362,u5776,4,Luneta,2
363,u28553,5,Mesa VIP,1
364,u25937,3,VIP,2
365,u21828,2,Norte,1
366,u34774,5,General,3
367,u23010,2,Norte,1
368,u9598,3,General,2
369,u39479,2,Preferencial,1
370,u11610,4,Balcon,4
371,u44639,5,Mesa VIP,3
372,u9894,4,Luneta,4
373,u28981,3,VIP,1
374,u23065,5,General,3
375,u30261,4,Luneta,1
376,u24166,3,General,1
377,u40306,5,Mesa VIP,4
378,u38033,5,General,4
379,u37465,2,Sur,4
380,u32858,2,Norte,4
381,u6784,3,General,2
382,u2566,2,Preferencial,4
383,u28798,5,General,3
384,u24436,3,VIP,4
385,u22176,5,General,3
386,u4320,3,General,4
387,u18622,3,General,3
388,u5342,5,General,3
389,u20332,4,Luneta,1
390,u20289,5,Mesa VIP,3
391,u8376,5,General,4
392,u33325,3,General,3
393,u20242,2,Norte,3
394,u31869,2,Norte,2
395,u10155,1,VIP,1
396,u33272,5,General,3
397,u40504,2,Preferencial,4
398,u10110,2,Norte,2
399,u47264,4,Luneta,4
400,u23875,2,Sur,3
401,u49309,4,Luneta,2
402,u20282,4,Luneta,3
403,u44454,5,Mesa VIP,4
404,u18467,4,Balcon,2
405,u13088,5,General,3
406,u3420,4,Balcon,1
407,u46623,5,General,3
408,u5497,2,Sur,4
409,u33644,2,Sur,1
410,u14552,4,Balcon,1
411,u27191,1,VIP,3
412,u15452,4,Luneta,3
413,u14716,1,VIP,1
414,u46839,3,General,2
415,u2511,3,VIP,2
416,u49732,4,Balcon,1
417,u5193,1,VIP,2
418,u9799,5,Mesa VIP,1
419,u18882,2,Sur,1
420,u3130,2,Sur,4
421,u4117,1,VIP,1
422,u41416,5,General,2
423,u19089,4,Luneta,3
424,u15766,5,Mesa VIP,2
425,u43541,1,Platinum,3
426,u4436,5,General,4
427,u30811,1,Platinum,4
428,u24465,3,General,3
429,u4428,3,General,1
430,u38136,3,General,1
431,u23089,5,Mesa VIP,2
432,u44872,4,Balcon,2
433,u8838,1,Platinum,4
434,u2424,3,General,1
435,u13073,1,VIP,3
436,u33777,4,Balcon,3
437,u2400,2,Sur,3
438,u3133,3,VIP,1
439,u24119,4,Balcon,4
440,u25340,3,General,4
441,u45356,4,Balcon,3
442,u5415,4,Luneta,4
443,u39483,2,Preferencial,3
444,u21051,1,General,3
445,u43315,3,VIP,4
446,u39494,4,Luneta,4
447,u23039,4,Luneta,3
448,u40295,4,Balcon,1
449,u4918,4,Balcon,2
450,u2041,2,Preferencial,4
451,u2281,2,Norte,2
452,u42282,3,VIP,4
453,u37175,1,Platinum,2
454,u44504,4,Balcon,3
455,u29095,1,Platinum,2
456,u34699,3,VIP,3
457,u42570,3,General,1
458,u1699,2,Sur,4
459,u36810,1,VIP,3
460,u46140,4,Luneta,3
461,u45481,4,Luneta,1
462,u8896,1,VIP,2
463,u46752,4,Luneta,3
464,u43768,3,General,3
465,u19658,2,Preferencial,2
466,u23691,5,General,1
467,u13172,2,Norte,4
468,u1723,3,VIP,4
469,u36153,2,Preferencial,1
470,u4309,3,VIP,4
471,u34452,4,Balcon,1
472,u8214,3,General,4
473,u30529,5,Mesa VIP,2
474,u36131,5,General,2
475,u28353,5,General,1
476,u33955,2,Sur,2
477,u10615,3,General,3
478,u34007,3,General,3
479,u12865,5,Mesa VIP,2
480,u40962,3,General,2
481,u38785,5,General,2
482,u43171,5,Mesa VIP,1
483,u1860,1,General,3
484,u42673,2,Preferencial,4
485,u40509,1,VIP,3
486,u42069,3,VIP,2
487,u44892,4,Balcon,4
488,u4783,1,General,4
489,u27239,4,Balcon,2
490,u22295,5,General,3
491,u47079,3,VIP,4
492,u8570,3,General,3
493,u15843,4,Luneta,3
494,u29465,2,Norte,1
495,u3317,3,VIP,4
496,u16271,2,Sur,3
497,u12441,2,Sur,4
498,u32687,3,VIP,1
499,u5902,4,Balcon,2
500,u14100,5,Mesa VIP,1
501,u3313,3,VIP,4
502,u18727,5,General,1
503,u28242,2,Sur,3
504,u26428,3,General,4
505,u3353,5,General,3
506,u36257,3,General,4
507,u33047,4,Balcon,1
508,u8433,1,VIP,3
509,u22223,5,Mesa VIP,2
510,u13046,5,Mesa VIP,1
511,u2970,1,General,3
512,u31048,5,Mesa VIP,2
513,u39732,5,General,3
514,u40179,3,General,4
515,u40403,3,VIP,4
516,u46448,5,Mesa VIP,4
517,u1091,3,VIP,1
518,u27299,5,Mesa VIP,1
519,u39120,4,Balcon,2
520,u47278,1,Platinum,4
521,u11175,5,Mesa VIP,2
522,u44613,2,Norte,1
523,u12504,1,VIP,3
524,u27446,2,Sur,2
525,u26895,5,Mesa VIP,1
526,u46254,2,Preferencial,2
527,u36759,3,VIP,4
528,u20563,2,Sur,3
529,u35801,3,VIP,4
530,u12601,2,Sur,3
531,u14737,3,VIP,2
532,u45236,4,Balcon,4
533,u22860,5,Mesa VIP,3
534,u7988,5,Mesa VIP,4
535,u22619,2,Sur,1
536,u18851,1,VIP,4
537,u42990,3,VIP,2
538,u13243,5,Mesa VIP,3
539,u8997,1,Platinum,2
540,u15890,1,Platinum,2
541,u41809,2,Norte,1
542,u27087,3,VIP,1
543,u44643,2,Norte,2
544,u26668,4,Balcon,2
545,u49540,3,VIP,3
546,u42330,1,General,2
547,u35072,1,General,4
548,u11521,1,VIP,4
549,u12211,3,General,1
550,u19556,5,General,3
551,u18650,4,Balcon,2
552,u33045,4,Balcon,2
553,u7383,3,General,4
554,u42487,3,General,1
555,u48275,3,VIP,2
556,u11502,5,Mesa VIP,4
557,u33770,3,General,4
558,u43861,1,General,2
559,u31291,3,General,1
560,u17091,4,Luneta,4
561,u49399,3,VIP,3
562,u38173,5,General,3
563,u42840,3,General,1
564,u43765,1,VIP,3
565,u10468,4,Balcon,1
566,u41859,3,VIP,2
567,u14361,2,Sur,2
568,u29818,5,Mesa VIP,4
569,u46003,5,Mesa VIP,2
570,u49930,2,Preferencial,1
571,u34440,4,Balcon,1
572,u36974,1,General,2
573,u37533,5,General,2
574,u21504,5,Mesa VIP,1
575,u44584,2,Preferencial,4
576,u5960,5,Mesa VIP,1
577,u29717,2,Preferencial,4
578,u29937,5,General,4
579,u44091,3,General,4
580,u16677,1,Platinum,2
581,u37901,1,General,4
582,u22580,1,Platinum,1
583,u4524,4,Luneta,3
584,u26796,2,Norte,4
585,u24541,4,Balcon,4
586,u24619,1,Platinum,2
587,u42831,3,General,2
588,u35210,4,Luneta,2
589,u228,1,VIP,4
590,u44139,5,Mesa VIP,4
591,u15052,2,Sur,3
592,u10167,3,General,1
593,u2112,4,Luneta,2
594,u13506,1,General,1
595,u29258,5,General,2
596,u48533,1,VIP,4
597,u15358,5,General,1
598,u9184,5,Mesa VIP,2
599,u47941,5,Mesa VIP,3
600,u15526,3,General,2
601,u27104,3,VIP,1
602,u36486,5,General,4
603,u36429,4,Luneta,3
604,u42161,4,Balcon,4
605,u26756,2,Sur,4
606,u12051,5,Mesa VIP,2
607,u14769,3,General,4
608,u3777,5,Mesa VIP,4
609,u36523,5,General,4
610,u15916,3,General,3
611,u42383,1,VIP,3
612,u6060,5,General,1
613,u17594,4,Luneta,1
614,u12332,5,General,4
615,u13690,3,VIP,1
616,u13882,2,Preferencial,1
617,u48948,4,Luneta,2
618,u25994,2,Preferencial,3
619,u18551,4,Balcon,3
620,u20213,3,VIP,4
621,u30541,1,Platinum,4
622,u49915,3,General,3
623,u20508,4,Luneta,2
624,u48579,2,Norte,3
625,u36262,5,Mesa VIP,3
626,u9989,2,Sur,2
627,u24894,5,General,4
628,u36087,3,VIP,4
629,u47420,4,Balcon,2
630,u48023,3,General,2
631,u47207,5,Mesa VIP,2
632,u35530,1,Platinum,1
633,u4872,1,General,4
634,u9011,2,Norte,2
635,u600,2,Preferencial,4
636,u24459,1,Platinum,4
637,u43207,4,Luneta,1
638,u34880,5,Mesa VIP,1
639,u1097,5,Mesa VIP,3
640,u1124,5,Mesa VIP,2
641,u7014,1,Platinum,2
642,u15793,2,Preferencial,3
643,u23229,3,VIP,1
644,u24449,4,Balcon,2
645,u45695,2,Sur,1
646,u42844,1,General,4
647,u24856,4,Balcon,1
648,u41730,1,Platinum,2
649,u5419,4,Balcon,3
650,u37084,1,Platinum,1
651,u15058,2,Preferencial,4
652,u17767,1,General,3
653,u35589,5,General,2
654,u20611,1,General,2
655,u49300,4,Luneta,3
656,u10647,5,General,4
657,u44371,5,Mesa VIP,4
658,u49520,2,Preferencial,1
659,u32820,3,General,1
660,u28646,2,Norte,3
661,u39661,5,Mesa VIP,3
662,u1942,3,VIP,4
663,u14952,3,VIP,4
664,u12173,5,Mesa VIP,1
665,u40542,3,General,1
666,u5377,3,General,4
667,u46641,2,Preferencial,4
668,u20754,3,General,1
669,u341,3,VIP,3
670,u49896,3,General,2
671,u5722,2,Sur,4
672,u36503,5,Mesa VIP,1
673,u1722,1,VIP,1
674,u39121,5,Mesa VIP,4
675,u809,3,VIP,4
676,u5551,5,General,2
677,u44913,4,Luneta,2
678,u17624,3,VIP,4
679,u9564,1,General,4
680,u18086,4,Balcon,4
681,u5042,3,VIP,2
682,u47245,4,Luneta,4
683,u7011,2,Sur,1
684,u25933,3,VIP,3
685,u28851,3,VIP,2
686,u19690,3,General,4
687,u20591,2,Sur,3
688,u19101,4,Luneta,3
689,u24646,3,VIP,3
690,u7464,5,General,2
691,u44677,5,General,4
692,u46424,2,Sur,3
693,u45406,1,VIP,4
694,u9122,3,General,3
695,u43167,2,Preferencial,4
696,u24707,1,VIP,4
697,u38158,4,Balcon,1
698,u23563,5,General,1
699,u16269,3,General,1
700,u36912,4,Balcon,4
701,u6944,1,General,3
702,u14550,5,General,4
703,u24519,4,Balcon,2
704,u22608,1,VIP,1
705,u19362,4,Luneta,1
706,u47852,2,Sur,3
707,u22484,4,Luneta,4
708,u22827,4,Luneta,4
709,u47317,4,Balcon,1
710,u19679,1,Platinum,1
711,u1481,3,General,2
712,u48529,2,Preferencial,2
713,u36170,2,Sur,4
714,u30282,2,Sur,2
715,u12216,4,Balcon,1
716,u48326,5,General,4
717,u38811,4,Balcon,1
718,u46186,2,Norte,3
719,u49305,1,Platinum,1
720,u35186,2,Sur,3
721,u12916,4,Luneta,3
722,u43956,4,Balcon,4
723,u40063,4,Luneta,3
724,u23068,4,Luneta,3
725,u40271,5,General,2
726,u20525,1,General,3
727,u7665,2,Sur,2
728,u33478,4,Balcon,2
729,u37671,4,Balcon,2
730,u31895,5,General,2
731,u32090,3,General,2
732,u20617,4,Luneta,3
733,u629,4,Luneta,2
734,u25163,5,Mesa VIP,4
735,u44873,4,Balcon,4
736,u32028,2,Norte,1
737,u49877,2,Sur,1
738,u18013,2,Preferencial,3
739,u11024,4,Balcon,1
740,u37534,1,VIP,3
741,u35524,1,Platinum,4
742,u35806,2,Sur,1
743,u48234,2,Sur,1
744,u29474,3,VIP,1
745,u28775,1,General,2
746,u48341,5,Mesa VIP,4
747,u10878,5,General,2
748,u13563,1,Platinum,3
749,u34884,3,General,3
750,u46141,3,VIP,3
751,u33713,1,General,4
752,u3886,3,General,2
753,u16363,2,Preferencial,3
754,u16224,4,Balcon,2
755,u37843,3,VIP,4
756,u29622,1,Platinum,1
757,u26402,5,Mesa VIP,3
758,u29799,4,Balcon,1
759,u48020,1,Platinum,4
760,u41605,3,General,4
761,u14276,4,Luneta,4
762,u17599,3,VIP,3
763,u35869,5,General,4
764,u22528,1,General,1
765,u41038,4,Luneta,1
766,u10354,4,Balcon,1
767,u28037,2,Preferencial,2
768,u42599,3,General,3
769,u6118,3,VIP,1
770,u24370,2,Norte,4
771,u41000,3,General,4
772,u42958,1,Platinum,1
773,u72,2,Sur,1
774,u8697,5,General,4
775,u609,1,Platinum,3
776,u7904,4,Luneta,4
777,u4642,2,Sur,1
778,u47892,1,General,3
779,u24089,3,General,4
780,u49359,2,Preferencial,2
781,u4484,5,General,2
782,u28843,3,General,2
783,u26982,5,Mesa VIP,2
784,u5682,1,General,1
785,u38639,4,Balcon,4
786,u20612,2,Norte,3
787,u42246,1,General,3
788,u45252,1,Platinum,3
789,u13465,5,General,4
790,u19369,1,General,4
791,u25290,1,General,4
792,u41818,5,General,1
793,u23665,3,General,4
794,u37250,4,Balcon,2
795,u49987,4,Luneta,1
796,u38494,1,General,3
797,u14139,1,General,4
798,u33202,3,VIP,4
799,u45994,4,Luneta,2
800,u18185,1,VIP,1
801,u33509,2,Norte,3
802,u25607,5,General,3
803,u45789,4,Luneta,1
804,u16023,1,VIP,1
805,u29713,5,General,3
806,u43653,2,Norte,1
807,u46393,2,Preferencial,1
808,u10737,4,Balcon,3
809,u10943,3,General,3
810,u48034,1,General,3
811,u28137,3,General,3
812,u46683,5,General,4
813,u29832,5,Mesa VIP,1
814,u32743,5,General,3
815,u10310,3,General,1
816,u14969,5,General,1
817,u806,2,Norte,4
818,u23854,4,Luneta,2
819,u2318,5,Mesa VIP,2
820,u21090,2,Sur,3
821,u17778,1,Platinum,3
822,u7826,5,General,2
823,u14627,5,General,4
824,u4518,4,Balcon,3
825,u21450,1,Platinum,4
826,u523,3,General,3
827,u36950,3,General,4
828,u24136,5,Mesa VIP,2
829,u48003,5,General,2
830,u418,4,Luneta,2
831,u35491,3,General,3
832,u96,4,Balcon,1
833,u13448,5,General,4
834,u32246,1,General,3
835,u6097,1,General,4
836,u45931,3,VIP,1
837,u38062,1,Platinum,2
838,u41761,4,Luneta,1
839,u28508,2,Norte,3
840,u17105,3,VIP,3
841,u20845,4,Balcon,2
842,u4895,2,Norte,1
843,u10185,1,General,4
844,u30544,3,VIP,1
845,u35123,3,General,4
846,u20206,4,Balcon,1
847,u5926,2,Preferencial,3
848,u46184,5,General,2
849,u21483,2,Norte,2
850,u23314,4,Luneta,3
851,u17051,2,Norte,4
852,u29636,5,General,1
853,u30281,1,General,1
854,u784,1,General,2
855,u12985,4,Balcon,1
856,u38164,5,Mesa VIP,1
857,u1429,1,General,4
858,u8441,1,VIP,1
859,u2799,4,Luneta,2
860,u37611,4,Balcon,4
861,u1933,4,Balcon,2
862,u23197,2,Norte,3
863,u18341,4,Luneta,1
864,u40247,5,General,3
865,u32696,4,Balcon,1
866,u5749,3,VIP,2
867,u27475,2,Preferencial,2
868,u41338,5,General,4
869,u46752,3,VIP,4
870,u22547,5,Mesa VIP,4
871,u17724,2,Norte,3
872,u39133,2,Norte,3
873,u3840,4,Balcon,2
874,u10462,1,General,2
875,u17468,5,General,2
876,u37729,4,Balcon,2
877,u11541,2,Preferencial,3
878,u48373,3,General,3
879,u37202,5,General,2
880,u32259,5,Mesa VIP,2
881,u32142,1,General,1
882,u15246,5,General,1
883,u34502,4,Luneta,3
884,u40248,2,Norte,3
885,u46986,2,Sur,1
886,u1437,2,Preferencial,2
887,u7270,5,Mesa VIP,1
888,u24484,4,Luneta,3
889,u19777,3,General,2
890,u47996,4,Balcon,3
891,u11417,5,Mesa VIP,2
892,u43617,5,General,4
893,u20108,3,General,2
894,u47765,1,Platinum,4
895,u37191,1,General,3
896,u40068,2,Preferencial,1
897,u32518,2,Sur,1
898,u15598,3,VIP,2
899,u41694,1,Platinum,3
900,u29271,1,VIP,2
901,u16354,1,VIP,3
902,u7081,1,General,4
903,u28720,4,Luneta,4
904,u32315,4,Balcon,4
905,u6648,4,Luneta,2
906,u29576,1,General,3
907,u1316,3,VIP,1
908,u4863,3,General,4
909,u10546,1,Platinum,1
910,u22148,5,Mesa VIP,1
911,u28268,2,Preferencial,4
912,u10296,1,General,3
913,u13471,2,Sur,3
914,u43293,3,VIP,2
915,u6286,1,VIP,4
916,u10066,1,VIP,1
917,u28024,1,VIP,4
918,u13086,1,General,2
919,u11196,3,General,4
920,u7570,3,VIP,4
921,u32054,3,General,4
922,u12117,3,VIP,3
923,u12228,4,Luneta,3
924,u28819,4,Balcon,2
925,u17601,5,General,2
926,u49299,1,General,3
927,u35485,4,Luneta,1
928,u25370,5,Mesa VIP,4
929,u37534,2,Sur,3
930,u5175,4,Luneta,2
931,u7883,4,Luneta,2
932,u13887,2,Norte,1
933,u27747,1,Platinum,4
934,u13233,2,Preferencial,3
935,u20956,1,General,4
936,u36462,4,Balcon,3
937,u34059,4,Luneta,4
938,u7375,4,Luneta,2
939,u37133,5,General,1
940,u36877,1,VIP,3
941,u26929,3,VIP,4
942,u37489,5,Mesa VIP,1
943,u11286,3,VIP,2
944,u40518,5,Mesa VIP,1
945,u25939,3,General,1
946,u48874,4,Balcon,3
947,u1326,3,VIP,3
948,u18373,4,Luneta,2
949,u8808,3,VIP,3
950,u17657,4,Luneta,2
951,u28949,2,Sur,4
952,u49775,5,Mesa VIP,1
953,u33769,2,Norte,3
954,u46503,5,Mesa VIP,2
955,u34360,5,General,2
956,u12633,2,Norte,2
957,u2168,4,Luneta,3
958,u46179,2,Sur,3
959,u30424,5,Mesa VIP,1
960,u44642,1,General,3
961,u32034,5,Mesa VIP,2
962,u31103,5,Mesa VIP,3
963,u10717,3,General,3
964,u1799,4,Luneta,2
965,u37504,2,Norte,2
966,u44414,2,Sur,4
967,u33639,1,Platinum,1
968,u31071,2,Preferencial,2
969,u39397,1,General,3
970,u39869,3,VIP,4
971,u24673,3,VIP,3
972,u14301,4,Balcon,4
973,u38305,1,General,3
974,u36796,5,Mesa VIP,3
975,u44854,1,VIP,1
976,u22039,3,VIP,3
977,u17115,3,General,2
978,u33902,2,Norte,4
979,u43289,3,General,1
980,u42953,4,Balcon,3
